# Swissprot Database
# Swissprot_accession	Description	K	term
sp|P26714|GBRB_LYMST	Gamma-aminobutyric acid receptor subunit beta OS=Lymnaea stagnalis PE=2 SV=1	K05181
sp|Q25011|FANA_HELAS	FMRFamide-activated amiloride-sensitive sodium channel OS=Helix aspersa PE=2 SV=1	K04829
sp|P26591|GLRK_LYMST	Glutamate receptor OS=Lymnaea stagnalis PE=2 SV=1	K05198
sp|Q05973|SCN1_HETBL	Sodium channel protein 1 brain OS=Heterololigo bleekeri PE=2 SV=1	K04837


# KEGG database accessions
# KEGG_accession	Description K	term
pam:PANA_2219	aqpZ; AqpZ	K06188
lcm:102352165	lens fiber major intrinsic protein-like	K09863
mmu:18440	P2rx6, P2rxl1, P2x6, P2xm; purinergic receptor P2X, ligand-gated ion channel, 6	K05221
mpp:MICPUCDRAFT_800	chloride Carrier/Channel family	K05016
mdo:100017376	CHRNE; cholinergic receptor, nicotinic, epsilon (muscle)	K04817
api:100163622	inositol 1,4,5-trisphosphate receptor	K04958
cfa:482110	CHRNB4; cholinergic receptor, nicotinic, beta 4 (neuronal)	K04815
lve:103076201	CATSPERD; catsper channel auxiliary subunit delta	K16895
phi:102113132	CNGA4; cyclic nucleotide gated channel alpha 4	K04951
xma:102219060	gamma-aminobutyric acid receptor subunit gamma-3-like	K05186
mgp:100545546	chloride transport protein 6-like	K05015
phd:102331959	uncharacterized LOC102331959	K04846
ola:101157647	mucolipin-3-like	K04994
mdo:100022721	KCNV2; potassium channel, subfamily V, member 2	K04935
lcm:102361591	P2RX5; purinergic receptor P2X, ligand-gated ion channel, 5	K05219
chx:102168576	potassium voltage-gated channel subfamily E member 1-like	K04894
pale:102897807	ASIC2; acid-sensing (proton-gated) ion channel 2	K04828
nmr:Nmar_0561	major intrinsic protein	K06188
dpo:Dpse_GA29314	GA29314 gene product from transcript GA29314-RA	K05195
cin:100187460	potassium channel subfamily K member 16	K04920
tgu:100229350	H(+)/Cl(-) exchange transporter 5-like	K05012
tgu:100227551	potassium voltage-gated channel subfamily E member 1-like	K04894
cmk:103180594	trpv3; transient receptor potential cation channel, subfamily V, member 3	K04972
dre:387299	p2rx8, P2X.514, p2xr514; purinergic receptor P2X, ligand-gated ion channel, 8	K05219
cin:100184267	glutamate receptor 1-like	K05197
clv:102095245	KCNQ1; potassium voltage-gated channel, KQT-like subfamily, member 1	K04926
dsi:Dsim_GD13845	GD13845 gene product from transcript GD13845-RA	K05312
xtr:100486396	kcne1; potassium voltage-gated channel, Isk-related family, member 1	K04894
lcm:102347407	P2X purinoceptor 3-like	K05217
